frameIndex;frameTime;mfcc[0];mfcc[1];mfcc[2];mfcc[3];mfcc[4];mfcc[5];mfcc[6];mfcc[7];mfcc[8];mfcc[9];mfcc[10];mfcc[11];mfcc[12];mfcc[13];mfcc[14];mfcc[15];mfcc[16];mfcc[17];mfcc[18];mfcc[19];mfcc[20];mfcc[21];mfcc[22];mfcc[23];mfcc[24]
47;0.470000;-3.878399e+001;-1.710885e+000;1.975408e+001;2.004751e+001;-1.827687e+001;-2.275716e+001;1.851099e+001;-1.477640e+001;1.395908e+001;-3.942201e+000;7.773500e+000;-9.429922e+000;-7.545876e+000;8.738214e+000;-2.981172e+000;2.965488e+000;1.732562e+000;-1.680747e-002;-5.976115e+000;-1.431570e+000;2.499642e+000;5.209471e+000;-5.862532e+000;7.261921e+000;-5.832576e+000
48;0.480000;-2.366516e+001;8.543535e+000;8.650783e+000;-1.482493e+001;-1.738116e+001;2.600451e+001;-6.722069e+000;-1.269212e+001;1.032856e+001;-5.736688e+000;7.538962e+000;-1.024267e+001;5.663310e+000;-5.526788e+000;1.186278e+001;-1.483146e+001;6.246942e+000;1.825269e+000;-1.390169e+000;-2.219304e+000;8.387887e-001;1.112740e+000;5.649689e-001;-6.855385e-001;-4.102104e+000
49;0.490000;-3.788125e+001;-4.324634e+000;-2.330127e+001;-2.436058e+001;-2.574658e+000;8.679967e+000;-2.684179e+001;2.436772e+001;-5.786344e+000;2.193121e+000;6.640946e+000;4.081563e+000;-5.278575e-001;-5.965320e-001;1.026046e+000;-3.451751e+000;-4.922651e+000;-1.155127e+000;2.902353e+000;-1.003190e+001;1.004030e+001;-2.310548e+000;1.070585e+000;3.758975e+000;2.128545e+000
50;0.500000;-5.318588e+001;-1.887201e+001;-2.329117e+001;-1.067539e+001;1.247353e+000;1.263449e+001;-7.130682e+000;2.962955e+001;-2.378487e+001;-7.371768e+000;7.067133e+000;-7.927740e-001;-1.730779e+000;3.437939e+000;1.601019e+000;4.189794e+000;-1.684173e+000;-1.165717e+001;3.631858e+000;1.995232e+000;7.730474e+000;-1.018447e+001;6.753883e+000;3.220191e+000;-7.107676e+000
51;0.510000;-5.582441e+001;-2.307797e+001;-3.148402e+001;1.931540e+000;1.804138e+001;5.295908e+000;-1.159505e+001;1.242805e+001;-2.593099e+001;1.770535e+001;9.283285e-001;-2.310252e+000;4.675343e+000;-8.010168e+000;-8.077553e-001;2.375658e+000;4.292201e+000;-1.773287e+000;1.299567e+000;-5.190238e+000;1.465496e-001;1.184161e+000;6.226743e+000;-6.685511e+000;5.997562e+000
52;0.520000;-5.846103e+001;-2.884175e+001;-1.490075e+001;-7.745640e+000;1.296842e+001;6.099335e+000;6.272961e+000;-8.087299e+000;-1.977949e+001;1.515416e+001;1.369609e+001;-1.480003e+001;1.101044e+000;5.535560e+000;-5.790433e+000;-5.702101e+000;1.432789e+001;-9.112875e+000;1.367395e+001;-2.354960e+001;1.239319e+001;2.418437e+000;-3.371760e+000;4.919650e+000;-5.271936e+000
53;0.530000;-5.265514e+001;-1.041402e+001;-9.417210e+000;-2.025044e+001;-8.342859e+000;-1.616440e+001;5.652511e+000;2.282411e+001;1.090113e+001;-1.355797e+001;-3.364122e+000;1.112426e+001;2.715350e+000;-2.073833e+001;7.942937e+000;-5.778839e+000;-3.181433e+000;1.205349e+001;-3.114730e-001;-2.456728e+000;1.481514e+001;-2.240030e+001;1.729753e+001;-9.291383e+000;1.453306e+000
54;0.540000;-5.782145e+001;-1.209870e+001;-1.247412e+001;-2.204205e+001;-8.474167e+000;-2.093918e-001;1.572206e+001;2.060553e+001;-1.153539e+001;-8.032025e+000;-3.430562e+000;1.511201e+001;-1.806815e+001;-4.013741e+000;1.041189e+001;8.973880e+000;-1.512445e+001;2.296668e+001;-1.770134e+001;-2.694111e+000;6.562657e+000;-7.638093e+000;7.638202e+000;-7.889240e+000;6.012585e+000
55;0.550000;-3.836526e+001;-2.346637e+000;3.372992e+000;1.170973e+001;9.324355e+000;1.270411e+001;-5.548498e+000;-6.055897e+000;-2.530541e+001;-3.280337e+000;1.290235e+001;7.149637e+000;-1.000096e+001;-6.295150e+000;1.474626e+001;3.503165e+000;-1.073622e+001;6.014048e+000;-6.630822e+000;3.251505e+000;-2.306512e+001;2.396217e+001;-7.628966e+000;1.530513e+000;1.272041e+001
56;0.560000;-3.436917e+001;-1.013022e+001;-5.029256e-001;4.273808e+000;9.916640e+000;1.043820e+001;1.215207e+001;2.069741e+001;-7.171271e+000;-3.929482e+000;-2.255798e+001;3.794651e+000;1.132924e+000;1.482282e+001;-2.063890e+001;-9.517609e+000;6.905630e+000;5.338924e+000;-1.281806e+001;-1.070505e+000;1.671941e+001;-1.647236e+000;-1.309968e+000;1.916249e+001;-2.119752e+001
57;0.570000;-5.333134e+001;-9.538676e+000;7.615531e+000;1.070163e+001;-9.604573e+000;-1.313930e+001;-1.134536e+001;-1.493988e+001;-1.845878e+001;-2.677891e+000;1.522483e+001;-4.864026e+000;8.326467e+000;-1.898188e+001;1.227015e+001;-1.932602e-001;7.332946e+000;-1.839816e+001;1.014080e+001;1.681334e+001;-8.345891e+000;1.791376e+001;1.119053e+000;-1.940236e+001;8.952590e+000
58;0.580000;-7.215752e+001;-1.223734e+001;-1.285405e+001;-4.636739e+000;-1.482511e+001;7.194480e+000;2.262824e+000;4.728012e+000;-2.158116e+000;1.578825e+001;2.101984e+000;-1.306994e+001;-2.218249e+001;5.419373e+000;1.464979e+001;8.863174e+000;-3.412297e+000;-2.384275e+000;-2.608697e+000;-5.189791e+000;2.858353e+000;-9.861245e-001;1.723130e+000;-9.815674e+000;2.900311e+001
59;0.590000;-6.664291e+001;-1.243762e+001;-1.160020e+001;6.098966e+000;1.196351e-002;-1.808659e-001;1.031402e+001;1.879107e+001;1.004271e+001;-9.014738e+000;-4.985250e+000;-3.497644e-001;6.742464e+000;1.739151e+001;6.531567e+000;1.407692e+000;-1.691550e+001;1.732717e+001;-5.781169e+000;5.468110e+000;-5.913122e+000;2.617702e+001;-9.207404e+000;-1.825372e+001;1.885738e+001
